BarCode,MRP,ItemName,Category,SubCategory,COMPANY,BRAND,UnitType
8901088061728,99,SAFFOLA MUESLI FRUIT RUSH 225G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088061735,170,SAFFOLA MUESLI LITE N NATURAL 400G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088061742,99,SAFFOLA MUESLI LITE N NATURAL 225G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088062459,50,SET WET HAIR GEL COOL 50ML,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088062466,50,SET WET HAIR GEL VERTICAL 50ML,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088062473,50,SET WET HAIR GEL WET LOOK 50ML,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088062480,90,SET WET HAIR GEL STYLING COOL 100M,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088062497,90,SETWET HAIR GEL (VERTICAL HOLD)100 ML,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088062503,90,SET WET HAIRGEL WET LOOK 100m,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088062848,150,SET WET ADVENTHURE DEO 150ML,PERSONAL CARE,DEODARANTS,MARICO,SET WET ,PC
8901088062862,165,SET WET DEO STYLE CASANOVA 150m,PERSONAL CARE,DEODARANTS,MARICO,SET WET ,PC
8901088062879,165,SET WET DEODORANT COOL 150ML,PERSONAL CARE,DEODARANTS,MARICO,SET WET ,PC
8901088062886,165,SET WET DEO STYLE SEXY 150m,PERSONAL CARE,DEODARANTS,MARICO,SET WET ,PC
8901088062893,150,SET WET ROMEO DEO 200ML,PERSONAL CARE,DEODARANTS,MARICO,SET WET ,PC
8901088062916,165,SET WET DEO STYLE MACHO 150m,PERSONAL CARE,DEODARANTS,MARICO,SET WET ,PC
8901088064576,40,PARACHUTE ADVANCED DRY SKIN 400ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANCED ,PC
8901088064590,160,PARACHUTE ADVANCED EXTRA DRY SKIN 400ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANCED ,PC
8901088064620,160,PARACHUTE ADVANCED EXTRA DRY SKIN 100ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANCED ,PC
8901088064644,115,PARACHUTE ADVANCED EXTRA DRY SKIN 250ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANCED ,PC
8901088065177,25,SAFFOLA OATS MASALA&CORIANDER PP 75g,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088065412,60,SAFFOLA OATS PEPPER 43G 4+1FRE,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088065535,0,SAFFOLA MASALA OATS 43G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088065542,0,SAFFOLA MASALA OATS TOM 43G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088065559,0,SAFFOLA OATS MASALA VEGGIE TWIST 43GM,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088067119,195,SET WET FIBRE GUM 80GJAR,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088067126,195,SET WET SHOCK STYLING CLAY 80G JAR,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088067133,195,SET WET AFTER HOURS GLAZE WAX 80GM JAR,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088067140,195,SET WET FREE STYLER MATT WAX 80G JAR,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088067416,110,SET WET HAIR GEL COOL 150ML,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088067423,110,SET WET HAIR GEL VERTICAL 150ML,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088067430,110,SET WET HAIR GEL WET LOOK 150ML,PERSONAL CARE,HAIR OIL,MARICO,SET WET ,PC
8901088067621,50,SAFFOLA MASALA & CORIANDER OATS 150G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088067638,130,SAFFOLA MASALA & CORIANDER OATS 400G,PACKAGED FOODS,CEREAL/BREAKFAST MIXES,MARICO,SAFFOLA ,PC
8901088067645,200,PARACHUTE BODY LTN SUMMER FRESH BT 400ml,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ,PC
8901088067836,45,PARACHUTE AD TENDER COCONUT HAIROIL100ML,PERSONAL CARE,"CREAMS, LOTIONS",MARICO,PARACHUTE ADVANSED,PC
